"Activity Type","Transaction Ref ID",Customer/CFA,"Customer/CFA ID","Customer/CFA external ID","Customer/CFA Name","Customer Address",City,"customer subtype",planned(Yes/No),"Customer/CFA Latitude","Customer/CFA Longitude","Visit Date","Visit Time","User BR ID","User Name","User Emp Role ID","user role",reportsToBRID,reportsToName,partner_name,partner_external_id,Purpose,Details,starting_km_reading,ending_km_reading,latitude,longitude,"Activity Address","Distance Away from Customer (in meters)","Synced On"
Workflow,34194522,Customer,15028119,"-- --","mahadev chanver","Savalgi , kajibiligi , Jamkhandi , Kajibilgi, Belgaum Division, Karnataka, India, 587330",Kajibilgi,Farmer,No,16.731633600000,75.393598400000,2026-01-29,21:02:40,277082,"SHREEPAD KASAR",3861966,"Sales Rep",231719,"RAVIKUMAR BASANNA _bagalkot",CFA-Bellary,A753,"Farmer Revisit","Farmer Revisit",,,16.611501,75.4496089,"Aurad - Sadashivgad Rd, Chikkalaki Cross, Karnataka 586113, India",14629.3,"29 Jan 2026 09:02:41 PM"
"Customer Creation",18998997,Customer,18998997,"-- --","Satyam Reddy","Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,21:02:36,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer","Satyam Reddy",,,,,,NA,"29 Jan 2026 09:02:36 PM"
Workflow,34194520,Customer,13798352,"-- --",Barnala,"NORTH-1 (PB, HR, HP, J&K)","-- --",Liquidation,No,,,2026-01-29,21:02:33,238151,"Yatendera Rana_BARNALA",A64,"Territory Manager",239596,"Vacant TL_Punjab",A123-Ludhiana,A123,"Daily Liquidation","Daily Liquidation",,,30.3652205,75.5305875,"9G8J+43Q, near surjeet singh kothi, Gobind Colony, Barnala, Punjab 148101, India",NA,"29 Jan 2026 09:02:34 PM"
Workflow,34194516,Customer,15028119,"-- --","mahadev chanver","Savalgi , kajibiligi , Jamkhandi , Kajibilgi, Belgaum Division, Karnataka, India, 587330",Kajibilgi,Farmer,No,16.731633600000,75.393598400000,2026-01-29,21:02:20,277082,"SHREEPAD KASAR",3861966,"Sales Rep",231719,"RAVIKUMAR BASANNA _bagalkot",CFA-Bellary,A753,"Field Day","Field Day",,,16.611501,75.4496089,"Aurad - Sadashivgad Rd, Chikkalaki Cross, Karnataka 586113, India",14629.3,"29 Jan 2026 09:02:21 PM"
Workflow,34194512,Customer,17490829,"-- --",Kesavaram_Nellore,street,"-- --","Farmer Group",No,,,2026-01-29,21:02:07,276460,"Devareddy Rajasekhar",3860872,"Sales Rep",261949,"Deepthi Janga Sai_Nellore",Vijayawada,A732,"Small Group Meeting","Small Group Meeting",,,14.1296775,79.8641452,"4VH7+XQQ, Chillakur, Andhra Pradesh 524412, India",NA,"29 Jan 2026 09:02:08 PM"
"Customer Creation",18998995,Customer,18998995,"-- --","Ravindra ","Mohan Traders , A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,21:01:57,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer","Ravindra ",,,,,,NA,"29 Jan 2026 09:01:58 PM"
"Customer Creation",18998994,Customer,18998994,"-- --","Shiv yadav","barufatak ,  , Rajpur, Indore Division, Madhya Pradesh, India, 451447",Rajpur,Farmer,No,21.943118300000,75.139096700000,2026-01-29,21:01:49,242428,"Sawan Panchole",3038702,"Sales Rep",242402,"AMIT TIWARI_DHAR",Indore,A641,"New Retailer","Shiv yadav",,,21.9431183,75.1390967,"W4VQ+6JR, Imlipura Main Rd, Rajpur, Madhya Pradesh 451447, India",NA,"29 Jan 2026 09:01:50 PM"
Workflow,34194507,Customer,15027650,"-- --","Kasappa ramdurg","Savalgi , kajibiligi , Jamkhandi , Kajibilgi, Belgaum Division, Karnataka, India, 587330",Kajibilgi,Farmer,No,16.731527300000,75.393795800000,2026-01-29,21:01:47,277082,"SHREEPAD KASAR",3861966,"Sales Rep",231719,"RAVIKUMAR BASANNA _bagalkot",CFA-Bellary,A753,"Farmer Revisit","Farmer Revisit",,,16.6122111,75.4494007,"Aurad - Sadashivgad Rd, Chikkalaki Cross, Karnataka 586113, India",14528.8,"29 Jan 2026 09:01:47 PM"
"Customer Creation",18998993,Customer,18998993,"-- --","Pradip Mutkule","K, B, Aurangabad(Maharashtra), Aurangabad, Maharashtra, India, 431114",Aurangabad(Maharashtra),Farmer,No,,,2026-01-29,21:01:28,274371,"Hanumanta Gangadhar Wankhede",3477205,"Sales Rep",246702,"ajay jadhav_Aurangabad","CFA - Akola",A522,"New Retailer","Pradip Mutkule",,,,,,NA,"29 Jan 2026 09:01:29 PM"
Workflow,34194502,Customer,15027650,"-- --","Kasappa ramdurg","Savalgi , kajibiligi , Jamkhandi , Kajibilgi, Belgaum Division, Karnataka, India, 587330",Kajibilgi,Farmer,No,16.731527300000,75.393795800000,2026-01-29,21:01:28,277082,"SHREEPAD KASAR",3861966,"Sales Rep",231719,"RAVIKUMAR BASANNA _bagalkot",CFA-Bellary,A753,"Farmer Revisit","Farmer Revisit",,,16.6122111,75.4494007,"Aurad - Sadashivgad Rd, Chikkalaki Cross, Karnataka 586113, India",14528.8,"29 Jan 2026 09:01:29 PM"
"Customer Creation",18998992,Customer,18998992,"-- --",Nithin,"Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,21:01:26,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Nithin,,,,,,NA,"29 Jan 2026 09:01:27 PM"
Order,90016766,Customer,13065825,0002019775,"2019775 - K.JAYAVELU AGRO SERVICE","Tiruvannamalai, CHETPET, Tiruvannamalai, Tamil Nadu, India, 606801",CHETPET,DISTRIBUTOR,No,12.466454600000,79.351200800000,2026-01-29,21:01:23,239762,"KISHOKAR P_KANCHEEPURAM",8105677,"Sales Manager",239760,"Vacant AMM_SWR1 (TN, KL)","Kancheepuram Warehouse",A773,Orders,"Order from 2019775 - K.JAYAVELU AGRO SERVICE",,,12.8159651,79.6888828,,53408.6,"29 Jan 2026 09:01:24 PM"
"Customer Creation",18998991,Customer,18998991,"-- --",Mahesh,"r, t, j, Hivardi, Aurangabad Division, Maharashtra, India, 431214",Hivardi,Farmer,No,19.751357900000,76.146128700000,2026-01-29,21:01:09,244840,"Pandurang Pavan Bhutekar_Ramnagar",3333188,"Sales Rep",239176,"Aniket Sarnaik_JALNA","CFA - Akola",A522,"New Retailer",Mahesh,,,19.7513579,76.1461287,"Q42W+J9P, Hivardi, Maharashtra 431214, India",NA,"29 Jan 2026 09:01:22 PM"
"Customer Creation",18998990,Customer,18998990,"-- --","Shiva raj","barufatak ,  , Rajpur, Indore Division, Madhya Pradesh, India, 451447",Rajpur,Farmer,No,21.943118300000,75.139096700000,2026-01-29,21:01:18,242428,"Sawan Panchole",3038702,"Sales Rep",242402,"AMIT TIWARI_DHAR",Indore,A641,"New Retailer","Shiva raj",,,21.9431183,75.1390967,"W4VQ+6JR, Imlipura Main Rd, Rajpur, Madhya Pradesh 451447, India",NA,"29 Jan 2026 09:01:20 PM"
"End Day",3108450,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:01:10,245534,"NARENDRA BABU PAGADALA_DACHEPALLI",3373799,"Sales Rep",240511,"Kishore Reddy _Piduguralla",,,"Day Ended","Day Ended",,,16.6005374,79.7403245,,NA,"29 Jan 2026 09:01:11 PM"
Workflow,34194498,Customer,17490829,"-- --",Kesavaram_Nellore,street,"-- --","Farmer Group",No,,,2026-01-29,21:01:08,276460,"Devareddy Rajasekhar",3860872,"Sales Rep",261949,"Deepthi Janga Sai_Nellore",Vijayawada,A732,"Organised Farmer Meeting","Organised Farmer Meeting",,,14.1296199,79.86418,"4VH7+XQQ, Chillakur, Andhra Pradesh 524412, India",NA,"29 Jan 2026 09:01:10 PM"
"End Day",3119214,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:01:09,239441,"Kiran Sansare_Satara",C81,"Territory Manager",239426,"Vijay Babar_TL Sangli",,,"Day Ended","Day Ended",,,16.0352857,73.4847935,,NA,"29 Jan 2026 09:01:10 PM"
Workflow,34194497,Customer,15027650,"-- --","Kasappa ramdurg","Savalgi , kajibiligi , Jamkhandi , Kajibilgi, Belgaum Division, Karnataka, India, 587330",Kajibilgi,Farmer,No,16.731527300000,75.393795800000,2026-01-29,21:01:08,277082,"SHREEPAD KASAR",3861966,"Sales Rep",231719,"RAVIKUMAR BASANNA _bagalkot",CFA-Bellary,A753,"Farmer Revisit","Farmer Revisit",,,16.6122111,75.4494007,"Aurad - Sadashivgad Rd, Chikkalaki Cross, Karnataka 586113, India",14528.8,"29 Jan 2026 09:01:08 PM"
"End Day",3108320,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:01:05,281671,"MANDA SATEESH KUMAR",,"Sales Rep",262717,"Chaitanya Pitchala_Kaligiri",,,"Day Ended","Day Ended",,,14.5345965,79.8787604,,NA,"29 Jan 2026 09:01:05 PM"
"Customer Creation",18998988,Customer,18998988,"-- --","Rajesh ","Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,21:00:55,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer","Rajesh ",,,,,,NA,"29 Jan 2026 09:00:56 PM"
Workflow,34194492,Customer,18998985,"-- --","Ajeet ","barufatak ,  , Rajpur, Indore Division, Madhya Pradesh, India, 451447",Rajpur,Farmer,No,21.943373300000,75.139046700000,2026-01-29,21:00:50,242428,"Sawan Panchole",3038702,"Sales Rep",242402,"AMIT TIWARI_DHAR",Indore,A641,"Farmer Revisit","Farmer Revisit",,,21.9432567,75.139105,"Sangav Road, Rajpur, Madhya Pradesh 451447, India",14.2914,"29 Jan 2026 09:00:52 PM"
Workflow,34194489,Customer,15027650,"-- --","Kasappa ramdurg","Savalgi , kajibiligi , Jamkhandi , Kajibilgi, Belgaum Division, Karnataka, India, 587330",Kajibilgi,Farmer,No,16.731527300000,75.393795800000,2026-01-29,21:00:46,277082,"SHREEPAD KASAR",3861966,"Sales Rep",231719,"RAVIKUMAR BASANNA _bagalkot",CFA-Bellary,A753,"Field Day","Field Day",,,16.6122111,75.4494007,"Aurad - Sadashivgad Rd, Chikkalaki Cross, Karnataka 586113, India",14528.8,"29 Jan 2026 09:00:47 PM"
Order,90016704,Customer,13065825,0002019775,"2019775 - K.JAYAVELU AGRO SERVICE","Tiruvannamalai, CHETPET, Tiruvannamalai, Tamil Nadu, India, 606801",CHETPET,DISTRIBUTOR,No,12.466454600000,79.351200800000,2026-01-29,21:00:43,239762,"KISHOKAR P_KANCHEEPURAM",8105677,"Sales Manager",239760,"Vacant AMM_SWR1 (TN, KL)","Kancheepuram Warehouse",A773,Orders,"Order from 2019775 - K.JAYAVELU AGRO SERVICE",,,12.8159566,79.6888738,,53407.3,"29 Jan 2026 09:00:44 PM"
"Customer Creation",18998985,Customer,18998985,"-- --","Ajeet ","barufatak ,  , Rajpur, Indore Division, Madhya Pradesh, India, 451447",Rajpur,Farmer,No,21.943373300000,75.139046700000,2026-01-29,21:00:31,242428,"Sawan Panchole",3038702,"Sales Rep",242402,"AMIT TIWARI_DHAR",Indore,A641,"New Retailer","Ajeet ",,,21.9433733,75.1390467,"144, Imlipura Main Rd, Rajpur, Madhya Pradesh 451447, India",NA,"29 Jan 2026 09:00:33 PM"
"Customer Creation",18998984,Customer,18998984,"-- --",Kittappa,"Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,21:00:27,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Kittappa,,,,,,NA,"29 Jan 2026 09:00:29 PM"
Workflow,34194473,Customer,15027650,"-- --","Kasappa ramdurg","Savalgi , kajibiligi , Jamkhandi , Kajibilgi, Belgaum Division, Karnataka, India, 587330",Kajibilgi,Farmer,No,16.731527300000,75.393795800000,2026-01-29,21:00:11,277082,"SHREEPAD KASAR",3861966,"Sales Rep",231719,"RAVIKUMAR BASANNA _bagalkot",CFA-Bellary,A753,"Field Day","Field Day",,,16.6122111,75.4494007,"Aurad - Sadashivgad Rd, Chikkalaki Cross, Karnataka 586113, India",14528.8,"29 Jan 2026 09:00:13 PM"
"Start Day",3119601,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:59:54,281863,NAKUMUMANG,,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",,,"Day Started","Day Started",,,21.9610708,69.8106792,,NA,"29 Jan 2026 09:00:07 PM"
"Visit Note",10816690,Customer,18811246,"-- --","Aradhya krishi kendra ","rajpur,  , Rajpur, Bilaspur Division, Chhattisgarh, India, 495330",Rajpur,Retailer,No,22.191521500000,81.971167500000,2026-01-29,14:27:15,271310,"Raghvendra Pratap singh",3793130,"Sales Rep",242414,"Vinay Kumar Singh_Bilaspur","New Gondwara",A541,"Customer Note",visit,,,22.1915257,81.9712201,"5XRC+JF6, Bhakurra Navapara, Rajpur, Chhattisgarh 495330, India",5.43598,"29 Jan 2026 08:59:52 PM"
"Customer Creation",18998982,Customer,18998982,"-- --",Aadhi,"Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:59:44,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Aadhi,,,,,,NA,"29 Jan 2026 08:59:45 PM"
"End Day",3109161,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:59:35,271310,"Raghvendra Pratap singh",3793130,"Sales Rep",242414,"Vinay Kumar Singh_Bilaspur",,,"Day Ended","Day Ended",,,22.0953281,82.0896988,,NA,"29 Jan 2026 08:59:36 PM"
"Customer Updation",15382109,Customer,15382109,"-- --","new Bhagyashri krushi seva kendra ","kedarkheda ,  , Kedarkheda, Aurangabad Division, Maharashtra, India, 431114",Kedarkheda,Retailer,No,20.146814400000,75.820492000000,2026-01-29,20:59:35,274371,"Hanumanta Gangadhar Wankhede",3477205,"Sales Rep",246702,"ajay jadhav_Aurangabad","CFA - Akola",A522,"Retailer Route Updated- From  Bharadi_Sillod,khedarkeda_Sillod to Bharadi_Sillod,khedarkeda_Sillod","Retailer Route Updated- From  Bharadi_Sillod,khedarkeda_Sillod to Bharadi_Sillod,khedarkeda_Sillod",,,20.146814400000,75.820492000000,"kedarkheda ,  , Kedarkheda, Aurangabad Division, Maharashtra, 431114",NA,"29 Jan 2026 08:59:35 PM"
"Customer Creation",18998979,Customer,18998979,"-- --",Ratan,"barufatak ,  , Rajpur, Indore Division, Madhya Pradesh, India, 451447",Rajpur,Farmer,No,21.943380000000,75.139061700000,2026-01-29,20:59:22,242428,"Sawan Panchole",3038702,"Sales Rep",242402,"AMIT TIWARI_DHAR",Indore,A641,"New Retailer",Ratan,,,21.94338,75.1390617,"144, Imlipura Main Rd, Rajpur, Madhya Pradesh 451447, India",NA,"29 Jan 2026 08:59:23 PM"
"Customer Creation",18998978,Customer,18998978,"-- --","Pullarao ","Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:59:17,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer","Pullarao ",,,,,,NA,"29 Jan 2026 08:59:18 PM"
"Customer Creation",18998977,Customer,18998977,"-- --",Rahul,"b,  , Rajpur, Indore Division, Madhya Pradesh, India, 451447",Rajpur,Farmer,No,21.943393300000,75.138848300000,2026-01-29,20:58:59,242428,"Sawan Panchole",3038702,"Sales Rep",242402,"AMIT TIWARI_DHAR",Indore,A641,"New Retailer",Rahul,,,21.9433933,75.1388483,"Imlipura Main Rd, near by IMPI, Rajpur, Madhya Pradesh 451447, India",NA,"29 Jan 2026 08:59:01 PM"
"Customer Creation",18998976,Customer,18998976,"-- --",Lyrdhu,"Mohan Traders , A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:58:51,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Lyrdhu,,,,,,NA,"29 Jan 2026 08:58:52 PM"
Order,90016491,Customer,13065825,0002019775,"2019775 - K.JAYAVELU AGRO SERVICE","Tiruvannamalai, CHETPET, Tiruvannamalai, Tamil Nadu, India, 606801",CHETPET,DISTRIBUTOR,No,12.466454600000,79.351200800000,2026-01-29,20:58:38,239762,"KISHOKAR P_KANCHEEPURAM",8105677,"Sales Manager",239760,"Vacant AMM_SWR1 (TN, KL)","Kancheepuram Warehouse",A773,Orders,"Order from 2019775 - K.JAYAVELU AGRO SERVICE",,,12.8158839,79.6888884,,53402.5,"29 Jan 2026 08:58:39 PM"
"Customer Creation",18998975,Customer,18998975,"-- --",Amit,"barufatak ,  , Rajpur, Indore Division, Madhya Pradesh, India, 451447",Rajpur,Farmer,No,21.943393300000,75.138848300000,2026-01-29,20:58:36,242428,"Sawan Panchole",3038702,"Sales Rep",242402,"AMIT TIWARI_DHAR",Indore,A641,"New Retailer",Amit,,,21.9433933,75.1388483,"Imlipura Main Rd, near by IMPI, Rajpur, Madhya Pradesh 451447, India",NA,"29 Jan 2026 08:58:38 PM"
Tourvisit,16144291,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:58:31,244202,"Pratik Anil Bhurande",3284340,"Sales Rep",242911,"Akshay Ingole_Chandrapur",,,"End of the day"," .",,1.00,19.7877453,79.3655102,"Q9Q8+47H, Rajura, Maharashtra 442905, India",NA,"29 Jan 2026 08:58:32 PM"
"Customer Creation",18998974,Customer,18998974,"-- --",Rayan,"Mohan Traders , A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:58:20,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Rayan,,,,,,NA,"29 Jan 2026 08:58:21 PM"
"Customer Creation",18998973,Customer,18998973,"-- --",Bharat,"barufatak ,  , Rajpur, Indore Division, Madhya Pradesh, India, 451447",Rajpur,Farmer,No,21.943393300000,75.138848300000,2026-01-29,20:58:11,242428,"Sawan Panchole",3038702,"Sales Rep",242402,"AMIT TIWARI_DHAR",Indore,A641,"New Retailer",Bharat,,,21.9433933,75.1388483,"Imlipura Main Rd, near by IMPI, Rajpur, Madhya Pradesh 451447, India",NA,"29 Jan 2026 08:58:13 PM"
Workflow,34194448,Customer,18998956,"-- --","BHETARIYA DADUBHAI HARDASBHAI","Bhanvad , B, Jamnagar, Jamnagar, Gujarat, India, 360510",Jamnagar,Farmer,No,,,2026-01-29,20:58:05,281862,"PRASHANS DILIPBHAI KARABNGIYA",,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",CFA-Ahemdabad,A621,"Farmer Revisit","Farmer Revisit",,,21.9610462,69.8105175,"Devariya Marg, Bhanvad, Gujarat 360510, India",NA,"29 Jan 2026 08:58:07 PM"
Order,90016428,Customer,13065825,0002019775,"2019775 - K.JAYAVELU AGRO SERVICE","Tiruvannamalai, CHETPET, Tiruvannamalai, Tamil Nadu, India, 606801",CHETPET,DISTRIBUTOR,No,12.466454600000,79.351200800000,2026-01-29,20:57:52,239762,"KISHOKAR P_KANCHEEPURAM",8105677,"Sales Manager",239760,"Vacant AMM_SWR1 (TN, KL)","Kancheepuram Warehouse",A773,Orders,"Order from 2019775 - K.JAYAVELU AGRO SERVICE",,,12.8158773,79.6888645,,53400.2,"29 Jan 2026 08:57:53 PM"
"Customer Creation",18998969,Customer,18998969,"-- --",Kannayya,"Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:57:45,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Kannayya,,,,,,NA,"29 Jan 2026 08:57:46 PM"
"End Day",3108597,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:57:42,239809,"BALACHANDAR B_DHARMAPURI",D4,"Territory Manager",239807,"JEEVA RAMALINGAM_SALEM",,,"Day Ended","Day Ended",,,12.3107675,78.2032297,,NA,"29 Jan 2026 08:57:43 PM"
"Customer Creation",18998967,Customer,18998967,"-- --","Kishor satpute ","., ., ., Rajura, Nagpur Division, Maharashtra, India, 442905",Rajura,Farmer,No,19.787745300000,79.365510200000,2026-01-29,20:57:35,244202,"Pratik Anil Bhurande",3284340,"Sales Rep",242911,"Akshay Ingole_Chandrapur","CFA - Akola",A522,"New Retailer","Kishor satpute ",,,19.7877453,79.3655102,"Q9Q8+47H, Rajura, Maharashtra 442905, India",NA,"29 Jan 2026 08:57:36 PM"
"End Day",3119598,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:57:32,253002,"Janapriya J",3509229,"Sales Rep",239809,"BALACHANDAR B_DHARMAPURI",,,"Day Ended","Day Ended",,,12.3107672,78.2032288,,NA,"29 Jan 2026 08:57:32 PM"
Workflow,34193297,Customer,13073798,0002003969,"2003969 - BALAGURU AGRO LINKS - PETHAPPAMPATT","6/ 369, PETHAPPAMPATTI,,  , UDUMALPET, TIRUPPUR, Tamil Nadu, India, 642205",UDUMALPET,DISTRIBUTOR,No,10.678281900000,77.216898100000,2026-01-29,20:57:05,239807,"JEEVA RAMALINGAM_SALEM",8104244,"Sales Manager",239760,"Vacant AMM_SWR1 (TN, KL)","Trichy Warehouse",A772,"Payment Tagging Information","Payment Tagging Information",,,10.6782819000,77.2168981000,"4/418-3, Chikkampatti, Sikkampatti, Tamil Nadu 636502, India",142229,"29 Jan 2026 08:57:30 PM"
Workflow,34190995,Customer,18423023,0002021453,"2021453 - VEDAPRIYA ENTERPRISES - BALLARI","OPP RK COMPLEX, D# 26/ B, WARD# 15,, Cowl Bazaar, Ballari, Kalaburagi Division, Karnataka, India, 583101",Ballari,Dealer,No,15.142345900000,76.930083000000,2026-01-29,20:57:16,282379,"GARAPATI RAMESH_Bellary-1 & 2",,"Sales Manager",240300,"Yankappa - Bellary",CFA-Bellary,A753,"Payment Tagging Information","Payment Tagging Information",,,15.1423459000,76.9300830000,"OPP RK COMPLEX, D# 26/ B, WARD# 15,, Cowl Bazaar, Ballari, Kalaburagi Division, Karnataka, 583101",,"29 Jan 2026 08:57:26 PM"
"Start Day",3119598,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,09:01:00,253002,"Janapriya J",3509229,"Sales Rep",239809,"BALACHANDAR B_DHARMAPURI",,,"Day Started","Day Started",,,,,,NA,"29 Jan 2026 08:57:16 PM"
"Customer Creation",18998965,Customer,18998965,"-- --","Ravi Ratna","Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:57:00,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer","Ravi Ratna",,,,,,NA,"29 Jan 2026 08:57:01 PM"
"End Day",3108992,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:56:03,276475,"Anil Muralidhar Rathod",3858927,"Sales Rep",239174,"Sachin Pandav_Parbhani",,,"Day Ended","Day Ended",,,19.2623485,76.4469779,,NA,"29 Jan 2026 08:56:14 PM"
Tourvisit,16144276,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:55:58,276475,"Anil Muralidhar Rathod",3858927,"Sales Rep",239174,"Sachin Pandav_Parbhani",,,"End of the day","Vadi, Kherda,",,6320.00,19.2623485,76.4469779,"7C7W+5G, Pohe Takli, Maharashtra 431506, India",NA,"29 Jan 2026 08:56:02 PM"
"Customer Creation",18998959,Customer,18998959,"-- --","Satyam Babu","Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:55:57,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer","Satyam Babu",,,,,,NA,"29 Jan 2026 08:55:58 PM"
"End Day",3109444,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:55:44,231719,"RAVIKUMAR BASANNA _bagalkot",I6,"Territory Manager",240319,"Vishwaradhya Biradar-HUBLI",,,"Day Ended","Day Ended",,,16.3283106,75.2890552,,NA,"29 Jan 2026 08:55:55 PM"
"Customer Creation",18998957,Customer,18998957,"-- --",Thambi,"Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:55:25,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Thambi,,,,,,NA,"29 Jan 2026 08:55:26 PM"
"End Day",3108660,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:55:02,259580,SARAVANAKUMAR.S,3681767,"Sales Rep",239804,"Senthil Kumar _Trichy",,,"Day Ended","Day Ended",,,10.450703,78.9499832,,NA,"29 Jan 2026 08:55:02 PM"
"Customer Creation",18998956,Customer,18998956,"-- --","BHETARIYA DADUBHAI HARDASBHAI","Bhanvad , B, Jamnagar, Jamnagar, Gujarat, India, 360510",Jamnagar,Farmer,No,,,2026-01-29,20:54:59,281862,"PRASHANS DILIPBHAI KARABNGIYA",,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",CFA-Ahemdabad,A621,"New Retailer","BHETARIYA DADUBHAI HARDASBHAI",,,,,,NA,"29 Jan 2026 08:54:59 PM"
"Customer Creation",18998955,Customer,18998955,"-- --",Srikanth,"Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:54:57,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Srikanth,,,,,,NA,"29 Jan 2026 08:54:58 PM"
Tourvisit,16144270,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:54:42,259580,SARAVANAKUMAR.S,3681767,"Sales Rep",239804,"Senthil Kumar _Trichy",,,"End of the day","closing ",,6605.00,10.450703,78.9499832,"CXX2+W5H, Kammankadu, Manaviduthy, Tamil Nadu 622301, India",NA,"29 Jan 2026 08:54:47 PM"
"Customer Creation",18998950,Customer,18998950,"-- --",Anil,"Mohan Traders, A, Khammam, Khammam, Andhra Pradesh, India, 507203",Khammam,Farmer,No,,,2026-01-29,20:54:24,281511,"B Srinu",3950758,"Sales Rep",240485,K.PRASANTH_KHAMMAM,"A735 -CFA Hyderabad",A735,"New Retailer",Anil,,,,,,NA,"29 Jan 2026 08:54:25 PM"
"End Day",3114469,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:54:24,280453,"B CHOWDAPPA",,"Sales Rep",240517,"Pamidi Jabiullah_ananthpur",,,"Day Ended","Day Ended",,,14.7726417,77.52612,,NA,"29 Jan 2026 08:54:25 PM"
